date,price,count,market_cnt
20230110,5115.0,2208,9
20230111,5020.0,2161,10
20230112,4999.0,2473,10
20230113,4807.0,1911,7
20230116,4715.0,3092,9
20230117,4716.0,2681,10
20230118,4295.0,2137,10
20230119,4039.0,1370,7
20230120,3191.0,39,1
20230125,4289.0,1588,8
20230126,4399.0,1555,10
20230127,4259.0,1180,6
20230130,4427.0,2270,10
20230131,4331.0,2064,10
20230201,4291.0,2089,10
20230202,4444.0,2168,10
20230203,4361.0,1009,7
20230206,4481.0,2104,10
20230207,4430.0,2445,10
20230208,4425.0,2121,10
20230209,4313.0,2626,10
20230210,4068.0,1534,8
20230213,4275.0,2388,10
20230214,4219.0,2316,10
20230215,4213.0,2121,9
20230216,4365.0,2014,9
20230217,4295.0,1115,6
20230220,4280.0,2261,10
20230221,4270.0,2197,10
20230222,4343.0,2033,8
20230223,4331.0,2143,10
20230224,4290.0,1187,8
20230227,4403.0,2587,10
20230228,4327.0,2362,10
20230301,4289.0,1625,3
20230302,4463.0,1948,10
20230303,4252.0,459,5
20230306,4512.0,1670,7
20230307,4580.0,2238,10
20230308,4665.0,1934,10
20230309,4645.0,2067,10
20230310,4511.0,1226,10
20230313,4627.0,2370,10
20230314,4563.0,2212,10
20230315,4671.0,2089,10
20230316,4617.0,2132,10
20230317,4513.0,1263,10
20230320,4735.0,1918,10
20230321,4831.0,1471,7
20230322,4957.0,1842,8
20230323,4984.0,1978,10
20230324,5005.0,1212,8
20230327,4949.0,2239,9
20230328,4943.0,2142,8
20230329,4931.0,1796,10
20230330,4947.0,2145,10
20230331,4767.0,1315,6
20230403,5046.0,1917,10
20230404,5020.0,1964,10
20230405,5065.0,1988,9
20230406,5104.0,1714,10
20230407,4927.0,1258,8
20230410,5074.0,2276,9
20230411,5243.0,1874,10
20230412,5110.0,2040,10
20230413,5157.0,1973,10
20230414,5076.0,946,7
20230417,5207.0,2090,10
20230418,5297.0,2014,10
20230419,5471.0,1766,10
20230420,5540.0,1562,10
20230421,5383.0,1047,7
20230424,5532.0,2204,10
20230425,5468.0,2085,10
20230426,5577.0,1954,10
20230427,5734.0,1763,9
20230428,5735.0,479,6
20230501,5697.0,1552,6
20230502,5894.0,2226,10
20230503,6020.0,2204,10
20230504,5751.0,1850,5
20230508,5842.0,2065,8
20230509,5895.0,1805,10
20230510,5983.0,1893,10
20230511,6467.0,1387,10
20230515,5973.0,2308,9
20230516,5959.0,2070,10
20230517,5850.0,1909,10
20230518,5839.0,1902,8
20230519,5503.0,1278,10
20230522,5826.0,1839,10
20230523,5900.0,1902,10
20230524,5827.0,2115,10
20230525,5723.0,2017,10
20230526,5414.0,263,5
20230529,5643.0,1569,4
20230530,5777.0,2104,10
20230531,5716.0,1941,10
20230601,5752.0,1830,10
20230602,5563.0,396,4
20230605,5721.0,2326,10
20230606,5801.0,1149,2
20230607,5683.0,2270,9
20230608,5636.0,2290,10
20230609,5309.0,1051,7
20230612,5522.0,1861,8
20230613,5625.0,1957,10
20230614,5645.0,1939,10
20230615,5673.0,1773,10
20230616,5393.0,822,7
20230619,5513.0,2130,10
20230620,5685.0,1747,10
20230621,5484.0,1788,10
20230622,5694.0,1552,10
20230623,5449.0,832,5
20230626,5495.0,2089,10
20230627,5411.0,1825,9
20230628,5551.0,1755,10
20230629,5395.0,1771,10
20230630,5089.0,1037,7
20230703,5298.0,2090,9
20230704,5479.0,1855,9
20230705,5448.0,1751,10
20230706,5527.0,1644,9
